company,game,score
Cross Roads Escape Games,The Asylum,5
Cross Roads Escape Games,The Fun House,0
Cross Roads Escape Games,The Hex Room,0
Mission Escape Games,Escape The Darkest Hour: Torture Chamber,0
Puzzlemazement,Doll House,3
The Cromwell Estate,The Den,5
Red Lantern Escape Rooms,Midnight on the Bayou,0
Sinister Pointe,FEAR... The Darkness,0
Sinister Pointe,The Event,0
Get the F Out,The Virus,0
Maze Rooms,The Dragon's Lair,0
Exit Strategy Games,Conspiracy Theory,0
Clue Avenue,Villain's Lair,0
The Prism Escape Rooms,Mystery Manor,0
Escapade Games,Zoe,0
Fox in a Box,Mr. Fox's Secret Study,0
Escape The Room,The Clock Tower,0
Brainy Actz,The Lost Jungle Safari,0
EscapeX,Casino Heist,4
EscapeX,Murder Manor,3
EscapeX Rooms,The Attic,4
Eskape Rooms,Professor White,3
Puzzle Workshop,Scarlet Starlet,3
Puzzle Workshop,Secrets of the Illuminati ,4
Square Room Escape,Super Mario Escape Room,0
Unlocked,The Return of the Magician,0
60out,Da Vinci's Secret,0
60out,Doctor Psycho,5
60out,Galaxy Quest,5
60out,Ghost Ship,0
60out,Grandma's Masterplan,0
60out,Jumanji: Welcome to the Jungle,0
60out,Red Alert,5
60out,The Krampus,5
60 OUT,Senator Payne,0
60out,The Pandorus Mission,3
60out,The Tiki Palace,5
Captured,Captured LA,0
Captured LA,The Starlet Killer,0
CAPTVT,The Spaceship,2
Enigma,Seance,2
Enigma,The Secret Temple,0
Escape Hotel,Agent,0
Escape Hotel,Daycare,0
Escape Hotel,Witchcraft,0
Escape Hotel,Zombie,0
Escape Room LA,The Cavern,2
Escape Room LA,The Detective,0
Evil Genius Escape Rooms,Chapter 1: Occam's Apartment,0
MagIQ Room,The Pharaoh's Legacy,0
MagIQ Room,The Pirate's Den,5
MagIQ Room,The Secrets of Wizardry,0
Maze Rooms,Demon Hunter,2
Maze Rooms,Jungle Game,1
Maze Rooms,Lunar Mission,0
Maze Rooms,Magic Kingdom,0
Maze Rooms,Pharaoh's Tomb,0
Maze Rooms,Secret Mission,0
Maze Rooms,World of Illusions,5
PanIQ Room,Insane Asylum,0
Quest Room,Bloody Elbow,0
Quest Room,Cannibal's Den,0
Quest Room,Red Giant,0
Roomescape Los Angeles,Cold War Bunker,0
Roomescape Los Angeles,Prison Break,0
Fox in a Box Los Angeles,Zodiac,5
Salvation Room,Noah's Ark,0
Salvation Room,The Inferno,0
Two Bit Circus Story Room,Cosmic Contagion,0
The Quest Factory,Clinic ,4
Think Tank Gallery,Trap House,0
60out,Titanic,0
60out,Wizard's Workshop,5
Steal and Escape,Mysterious Stranger,5
Steal and Escape,The Lost Expedition,6
Escape Chronicles,Smugglers Tunnels,5
Boss-Play Escape Rooms,The Chocolate Factory,0
Unity Escape Rooms,The Cabin,0
Beat The Room,221b Baker Street,0
Quandary Escape Rooms,The Dynaline Incident,0
Quandary Escape Rooms,The Locked In Dead,0
California State Escape,Space Sector,0
Enchambered,The Skull Witch,0
Enchambered,The Whispering Halls,0
Golden Puzzle Rooms,The Vampire's Study,0
3rd Day Escape,Harvest Motel,0
House of Hints,High School Detention,0
PanIQ Room,Creepy Cemetery,0
PanIQ Room San Diego,Voodoo Shop,0
The Entrapment,The Disappearance at Fogmore Manor,0
The Great Room Escape,Houdini's Hidden Workshop,0
The Great Room Escape,Forbidden Aztec Temple,0
The Great Room Escape,Zombie Lab,0
The Puzzalarium,The Floor is Lava,0
The Puzzalarium,The Parlour,0
The Unlockables,Sister's Secret,0
The Unlockables,The Escape,0
Quicksand Escape Games,Chinatown,0
Head Games SF,The Puppeteer's Workshop,0
Palace Escape Games,The Great Houdini Escape Room,5
Palace Games,The Roosevelt Escape Room,6
SCRAP Zelda,Defenders of the Triforce,0
X Room,Escape the Prison,0
X Room,The Curse of the Mummy,0
Omescape,Kingdom of Cats,3
Locked Adventures,Dystopia,0
Mighty Awesome Escape Rooms,The Office of Professor R.K. Alogee,0
Arcane Escape Rooms,The Hideout,0
Cyph3r Escape Experience,Starship Desolation,0
The Basement,The Boiler Room,0
The Basement,The Elevator Shaft,0
The Basement,The Study,0
Maze Rooms,Lord of Swords,0
Maze Rooms,Pirate Bay,0
Black Market Escape Rooms,Murder Co.,0
Trapped!,Down the Rabbit Hole,0
Trapped!,Lair of the Puzzlemaster,0
LA Dragon Studios,Knights of the Round Table,0
NorCal Escape Co.,Condemned 2,0
Themescape,The Stolen Relic,0
Rabbit Hole Recreation Services,Ruins Of The Mystic Temple,0
The Nat,Botanic Panic,0
Escape Kings,Ghost Hunters,0
Adventure Rooms,Remedy... 25 Years Later,0
Escape Room Era,The Overgrown,0
Escape Room Live,Friday the 13th,0
Escape Room Live,Ghostbusters!,5
Escape Room Live,Teenage Mutant Ninja Turtles,0
Escape Room Live,Titanic,0
International Spy Museum,Operation Spy,0
Axxiom Escape Rooms,Pirate's Cove,0
The Labyrinth Escape Rooms,Soldier Boy,0
Legends Escape Rooms,Dungeon VII,0
The Great Escape Lakeside,CLUE Escape,0
Escape Thrill,Diamond Heist,0
Escape Thrill,Skinned Alive,0
Escape Thrill,The Toy Room,0
Escape Thrill,Wild West,0
Tampa Bay Escape Room,Cabin in the Woods,5
Tampa Bay Escape Room,Music Producer,0
Escape Cocoa Beach,2325 Tremont Street,0
Escape Cocoa Beach,Jail Break,0
Escape Game Time,Hostage,0
Escape Game Time,Judge's Quarters,0
Escape Gametime,Space Station Crisis,0
Code To Escape,Haunted Superheroes,0
Code to Escape,The Mystery of Clarence Earl Gideon,0
Code to Escape,The Night out at the BAD GIRL,0
Code to Escape,"Thomas Edison, The Last Invention",0
Locked Inside,Egypt: Ammon's Passage,0
Locked Inside,Psycho Ward,0
Breakout,Do Not Disturb,0
Breakout Games,Hostage,2
Dare 2 Escape,The Archive,2
Dare 2 Escape,The Asylum,5
Dare 2 Escape,The Dig,4
Doldrick's Escape Room,Super Bomb Squad Commandos Awesome!,0
Lakeland Escape Room,The Asylum,0
Escape Room Extreme,The Pirate Ship,0
Make A Break Escape,Black Site,0
Make A Break Escape,Pirate Plunder,0
Escape Room Entertainment,Diamond Heist,0
Escape Room Entertainment,Miss Ellie's Sweet Shoppe,0
Escape Room Entertainment,The Undead,0
Escape Room Entertainment,Tidbit the Terrible Elf,0
PanIQ Room,Haunted Hospital,0
PanIQ Room,My Spy,0
PanIQ Room,Pirate's Den,0
